,Distance (km),Time (Hr),Avg Speed(kmph),Max Speed (kmph) ,Width,Height,g,Crr,Air density,Mass,Cd,Windspeed(m/s),Paux
Segment 1,0,0,0,0,1.809,1.649,9.8,0.02,1.225,2000,0.29,5.19,2000
,1,0.016949153,59,52,1.809,1.649,9.8,0.02,1.225,2000,0.29,5.19,2000
,10,0.160714286,56,81,1.809,1.649,9.8,0.02,1.225,2000,0.29,5.19,2000
,20,0.185185185,54,,1.809,1.649,9.8,0.02,1.225,2000,0.29,5.19,2000
,30,0.147058824,68,,1.809,1.649,9.8,0.02,1.225,2000,0.29,5.19,2000
,40,0.125,80,,1.809,1.649,9.8,0.02,1.225,2000,0.29,5.19,2000
,50,0.12345679,81,,1.809,1.649,9.8,0.02,1.225,2000,0.29,5.19,2000
,60,0.126582278,79,,1.809,1.649,9.8,0.02,1.225,2000,0.29,5.19,2000
Segment 2,70,0.172413793,58,,1.809,1.649,9.8,0.02,1.225,2000,0.29,6.21,2000
,80,0.178571429,56,,1.809,1.649,9.8,0.02,1.225,2000,0.29,6.21,2000
,90,0.2,50,,1.809,1.649,9.8,0.02,1.225,2000,0.29,6.21,2000
,100,0.285714286,35,,1.809,1.649,9.8,0.02,1.225,2000,0.29,6.21,2000
,110,0.333333333,30,,1.809,1.649,9.8,0.02,1.225,2000,0.29,6.21,2000
Segment3,113,0.050847458,59,,1.809,1.649,9.8,0.02,1.225,2000,0.29,3.49,2000
,116,0.15,20,,1.809,1.649,9.8,0.02,1.225,2000,0.29,3.49,2000
,120,0.066666667,60,83,1.809,1.649,9.8,0.02,1.225,2000,0.29,3.49,2000
,130,0.161290323,62,,1.809,1.649,9.8,0.02,1.225,2000,0.29,3.49,2000
,140,0.172413793,58,,1.809,1.649,9.8,0.02,1.225,2000,0.29,3.49,2000
,150,0.178571429,56,,1.809,1.649,9.8,0.02,1.225,2000,0.29,3.49,2000
,160,0.166666667,60,,1.809,1.649,9.8,0.02,1.225,2000,0.29,3.49,2000
Segment 4,170,0.161290323,62,,1.809,1.649,9.8,0.02,1.225,2000,0.29,5.45,2000
,180,0.172413793,58,,1.809,1.649,9.8,0.02,1.225,2000,0.29,5.45,2000
,190,0.178571429,56,,1.809,1.649,9.8,0.02,1.225,2000,0.29,5.45,2000
Segment 5,200,0.166666667,60,,1.809,1.649,9.8,0.02,1.225,2000,0.29,3.71,2000
,210,0.172413793,58,,1.809,1.649,9.8,0.02,1.225,2000,0.29,3.71,2000
,220,0.169491525,59,,1.809,1.649,9.8,0.02,1.225,2000,0.29,3.71,2000
,230,0.172413793,58,,1.809,1.649,9.8,0.02,1.225,2000,0.29,3.71,2000
,240,0.166666667,60,,1.809,1.649,9.8,0.02,1.225,2000,0.29,3.71,2000
,250,0.169491525,59,,1.809,1.649,9.8,0.02,1.225,2000,0.29,3.98,2000
,260,0.222222222,45,71,1.809,1.649,9.8,0.02,1.225,2000,0.29,3.98,2000
,270,0.212765957,47,,1.809,1.649,9.8,0.02,1.225,2000,0.29,3.98,2000
,280,0.204081633,49,,1.809,1.649,9.8,0.02,1.225,2000,0.29,3.98,2000
Segment 6,290,0.25,40,,1.809,1.649,9.8,0.02,1.225,2000,0.29,3.98,2000
,300,0.222222222,45,,1.809,1.649,9.8,0.02,1.225,2000,0.29,3.98,2000
,310,0.2,50,,1.809,1.649,9.8,0.02,1.225,2000,0.29,3.98,2000
,320,0.188679245,53,,1.809,1.649,9.8,0.02,1.225,2000,0.29,3.98,2000
,330,0.192307692,52,,1.809,1.649,9.8,0.02,1.225,2000,0.29,3.98,2000
,340,0.2,50,,1.809,1.649,9.8,0.02,1.225,2000,0.29,3.98,2000
,350,0.196078431,51,,1.809,1.649,9.8,0.02,1.225,2000,0.29,3.98,2000
,360,0.217391304,46,,1.809,1.649,9.8,0.02,1.225,2000,0.29,3.98,2000
,370,0.2,50,,1.809,1.649,9.8,0.02,1.225,2000,0.29,3.98,2000
Segment 7,373,0.0625,48,,1.809,1.649,9.8,0.02,1.225,2000,0.29,2.28,2000
,374,0.0625,16,59,1.809,1.649,9.8,0.02,1.225,2000,0.29,2.28,2000
,376,0.060606061,33,38,1.809,1.649,9.8,0.02,1.225,2000,0.29,2.28,2000
