Initial_SOC,Distance_Travelled,Final_SOC,Ambient_Temperature,Wind_Speed (km/h),Energy_Consumed (kWh/100km),Remaining_Range (km)
52.28,93.33,7,24,2.23,13.7,10
98.58,186.08,8.2,15,9.76,27.3,25.5
88.42,61.42,63.4,28,9.27,7.57,197.68
65.04,69.81,36.5,16,4.05,8.63,113.8
63.48,56.5,39.9,11,7.76,7.13,124.4
79.99,103.64,30.4,40,5.12,14.97,94.92
73.8,138.51,11.2,23,11.94,18.89,35.07
76.88,28.43,64.2,10,18.54,3.82,200.37
87.71,67.08,54.9,14,11.53,9.9,171.42
94.86,107.49,49.5,42,9.09,13.71,154.34
99.59,178.42,13,35,10.51,26.15,40.55
65,15.78,58.5,41,12.72,1.96,182.52
80.56,61.5,53,27,16,8.34,165.22
76.41,135.24,10.2,5,10.15,20.01,31.71
88.85,10.39,84.7,42,18.19,1.25,264.32
90.07,68.57,62.1,30,9.93,8.45,193.69
92.36,87.32,54.4,24,10.12,11.46,169.78
58.87,79.85,24.9,16,10.79,10.26,77.68
89.41,55.83,62.4,9,19.15,8.16,194.63
84.97,156.96,14.2,9,6.18,21.38,44.27
93.07,190.16,7,27,19.16,26.28,8
67.66,105.04,17.7,12,16.38,15.08,55.29
89.44,157.3,25.1,6,11.47,19.43,78.37
56.48,52.1,34.7,41,14.33,6.59,108.1
93.87,84.97,53.7,11,19.01,12.14,167.45
58.77,69.16,30.7,32,6.1,8.49,95.66
99.87,26.27,88.2,13,11.87,3.53,275.14
63.34,31.5,48.5,31,10.08,4.49,151.27
62,118.27,13.9,13,19.1,14.52,43.47
58.39,57.96,35.2,14,19.79,7.02,109.71
60.79,48.17,40.1,44,15.83,6.26,125.03
92.41,170.45,11.8,19,11.76,24.36,36.69
90.45,33.97,74.5,25,11.24,4.81,232.52
60.61,65.11,32.8,40,6.4,8.41,102.24
59.38,28.3,47.4,14,16.91,3.61,147.93
85.52,24.6,73.4,28,3.02,3.65,229.05
52.76,34.55,36.6,33,8.75,4.87,114.28
57.66,96.97,9.9,45,14.88,14.42,30.96
59.78,41.34,40,38,11.12,5.96,124.91
93.14,77.75,61.7,36,15.52,9.48,192.62
58.63,110.49,7,44,8.92,16.01,10
98.51,142.5,35.5,31,10.07,19.02,110.87
98.33,25.43,86.9,28,17.19,3.44,271.21
51.13,34.26,34.8,12,18.13,4.93,108.56
53.73,73.9,21.1,33,8.01,9.86,65.73
95.72,40.37,76.8,24,3.18,5.71,239.69
55.43,20.01,45.8,39,18.79,2.9,142.99
55.92,14.42,49.6,39,8.43,1.91,154.78
51.48,73.86,20.1,28,5.14,9.48,62.63
58.64,19.3,49.8,15,8.64,2.68,155.23
86.07,26.97,75.2,19,11.69,3.28,234.64
58.52,102.37,8.8,10,4.06,15.01,27.57
97.32,129.45,36.5,24,11.03,18.36,113.93
78.65,42.75,59.2,42,4.42,5.89,184.53
64.1,87.35,22.1,28,2.55,12.68,68.96
56.66,17.71,47.9,13,7.19,2.64,149.5
70.15,43.19,51.7,42,17.1,5.57,161.3
97.35,101.73,54.1,39,4.69,13.08,168.65
78.97,152.14,11.5,27,1.84,20.38,35.82
65.32,22.2,55,23,8.05,3.13,171.44
83.16,57.55,54.8,43,5.88,8.58,170.86
94.15,99.31,48.2,22,6.58,13.89,150.26
88.96,129.81,35.1,15,8.74,16.26,109.54
66.91,27.47,55.4,23,9.88,3.49,172.71
85.52,119.94,36.8,35,18.98,14.71,114.84
66.5,116.17,10,41,4.53,17.07,31.17
52.59,90.99,13,21,18.84,11.97,40.46
57.98,34.3,43.7,44,7.81,4.31,136.33
50.8,11.54,45.6,36,4.01,1.57,142.23
95.58,25.83,84.8,37,8.18,3.25,264.59
84.84,44.91,62.8,44,1.05,6.65,196.05
88.58,163.74,19.5,36,9.69,20.87,60.79
87.8,67.08,58.2,25,5.69,8.94,181.55
99.73,197.24,18.2,19,9.69,24.63,56.73
96.91,15.25,90.4,16,18.08,1.96,282.1
70.98,51.83,49.6,19,12.07,6.47,154.68
55.38,60.23,30.6,13,19.07,7.48,95.47
80.42,153.97,10.5,19,17.9,21.13,32.64
78.13,30.25,64.8,29,7.36,4.03,202.15
80.79,25.83,69.8,13,18.8,3.31,217.89
55.86,41.06,37.1,9,6.26,5.67,115.71
52.78,53.38,27.1,8,7.52,7.75,84.59
90.72,130.89,30.1,9,16.05,18.3,94.02
51.8,84.67,14.1,11,19.5,11.4,43.83
97.62,110.19,44.8,42,1.7,15.94,139.87
72.58,100.46,28.6,17,15.24,13.28,89.28
66.98,65.5,40.3,5,0.88,8.06,125.74
81.43,60.43,57,7,18.21,7.38,177.84
83.8,39.24,67.1,27,9.81,5.03,209.46
90.34,97.4,47.7,9,2.36,12.89,148.71
71.63,80.29,35.7,26,14.79,10.85,111.4
92.87,18.37,84,43,12.85,2.67,262.13
79.29,60.42,50.1,13,7.55,8.81,156.32
88.37,166.59,8.4,18,15.89,24.14,26.3
75.88,39.43,59.6,35,12.38,4.92,185.91
93.6,179.7,18.3,30,15.64,22.73,57.16
88.9,100.96,47.6,41,16.46,12.47,148.56
72.38,21.09,62.2,12,7.47,3.07,194.13
82.78,65.16,54.9,9,3.35,8.42,171.24
95.29,168.12,14.9,9,1.6,24.27,46.59
79.61,98.83,32.6,12,11.03,14.19,101.8
84.89,129.66,26.4,6,13.74,17.68,82.22
81.86,52.61,57.1,25,8.14,7.47,178.26
81.83,63.72,52.3,39,16.09,8.92,163.2
87.51,68.51,57,27,12.47,9.22,177.8
67.81,110.33,22.1,31,1.62,13.81,68.88
73.71,116.26,22.9,37,12,15.34,71.48
64.16,109.9,11,36,13.91,16.06,34.24
95.8,118.19,48.8,36,8.18,14.21,152.11
79.95,19.17,70.7,20,3.5,2.8,220.51
65.91,45.43,43.6,42,17.68,6.72,136.17
90.53,143.27,31.9,23,0.94,17.7,99.54
